THBL,JALAN,TOTAL_PAKAI,TOTAL_RP,JUMLAH_PELANGGAN,HARGA_PER_M3,Latitude,Longitude
202404,ITS.HIDRODINAMIKA/KEJ.PT,6,26000,1,4333.333333333333,-7.281111,112.794611
202404,ITS.ILMU PASTI ALAM,704,3043500,15,4323.153409090909,-7.281111,112.794611
202404,ITS.KEPUTIH,770,6256100,13,8124.805194805195,-7.2826954,112.7956782
202404,ITS.TEHNIK ARSITEKTUR,1535,8195700,30,5339.218241042346,-7.281111,112.794611
202404,ITS.TEHNIK FISIKA,549,2617200,16,4767.213114754099,-7.281111,112.794611
202404,ITS.TEHNIK GEODESI,460,2132600,12,4636.086956521739,-7.281111,112.794611
202404,ITS.TEHNIK HIDRODINAMIKA,3132,13171000,105,4205.300127713921,-7.281111,112.794611
202404,ITS.TEHNIK HIDRONIKA,20,97000,1,4850.0,-7.281111,112.794611
202404,ITS.TEHNIK HUMANIORA,520,2232600,16,4293.461538461538,-7.281111,112.794611
202404,ITS.TEHNIK INDUSTRI,693,3308100,13,4773.593073593073,-7.281111,112.794611
202404,ITS.TEHNIK KELAUTAN,343,1361100,14,3968.2215743440233,-7.281111,112.794611
202404,ITS.TEHNIK KOMPUTER,7612,32914500,204,4324.027850761955,-7.281111,112.794611
202404,ITS.TEHNIK LINGKUNGAN,773,3660300,17,4735.187580853816,-7.281111,112.794611
202404,ITS.TEHNIK PEMUKIMAN,373,1817800,13,4873.458445040214,-7.281111,112.794611
202404,ITS.TEHNIK PENYEHATAN,503,2321700,14,4615.705765407554,-7.281111,112.794611
202404,ITS.TEHNIK PRANCANGAN,248,938400,6,3783.8709677419356,-7.281111,112.794611
202404,ITS.TEHNIK SIPIL,3362,15753200,82,4685.663295657347,-7.281111,112.794611
202404,ITS.TEKNIK INDUSTRI,75,484000,1,6453.333333333333,-7.2902398,112.7932773
202404,KEJAWAN,56,83200,1,1485.7142857142858,-7.2774223,112.8057704
202404,KEJAWAN GEBANG,10775,34488750,278,3200.8120649651974,-7.2852358,112.8006448
202404,KEJAWAN PUTIH TAMBAK,548,1516650,20,2767.609489051095,-7.2717595,112.8160468
202404,KEPUTIH,127,1325000,3,10433.070866141732,-7.2896546,112.7805282
202404,KEPUTIH TEGAL,12,105600,1,8800.0,-7.2913962,112.8033252
202404,KEPUTIH UTARA,37,166200,1,4491.891891891892,-7.287331,112.7990127
202404,KERTAJAYA INDAH,929,9271300,9,9979.870828848223,-7.2792852,112.7798359
202404,KERTAJAYA INDAH  REGENCY,804,4960000,20,6169.154228855721,-7.289729,112.7871392
202404,KERTAJAYA INDAH REGENCY,4151,25704000,155,6192.242833052276,-7.289729,112.7871392
202404,KERTAJAYA INDAH TIMUR,25539,188734700,690,7390.0583421433885,-7.2792852,112.7798359
202404,KLAMPIS SACHAROSA,1915,11839900,67,6182.715404699739,-7.2875191,112.7813849
202404,MANYAR KERTOADI,15588,104608100,593,6710.8095971259945,-7.2847747,112.7834925
202404,MARINA EMAS,1968,12089300,87,6142.9369918699185,-7.2889554,112.802558
202404,MARINA EMAS BARAT,6911,39483300,215,5713.109535523079,-7.2930141,112.8035565
202404,MARINA EMAS SELATAN,1291,7774600,43,6022.153369481022,-7.2893059,112.8029472
202404,MARINA EMAS TENGAH,82,479000,6,5841.463414634146,-7.2940982,112.8051135
202404,MARINA EMAS TIMUR,5680,29680300,196,5225.404929577465,-7.2940982,112.8051135
202404,MARINA EMAS UTARA,1248,5722700,54,4585.496794871795,-7.281512,112.802871
202404,MULYOREJO BARU TEGAL,6848,31485300,165,4597.7365654205605,-7.2750916,112.7936262
202404,PERUM ITS,341,1632700,4,4787.976539589443,-7.281111,112.794611
